,time,amplitude,pitch
1075,10.75,0.512797374884598,
1076,10.76,0.5428785221561415,
1077,10.77,0.45810258043725793,
1078,10.78,0.37426594428322,
1079,10.790000000000001,0.3160469123786879,
1080,10.8,0.23742351992860083,
1081,10.81,0.1459597077319183,
1082,10.82,0.15065394960810582,
1083,10.83,0.33180287693148,
1084,10.84,0.586065421623989,
1085,10.85,0.7643917885020977,62.23895098736579
1086,10.86,0.8195651370244482,106.83075449624691
1087,10.870000000000001,0.7772499024486841,109.5391331554121
1088,10.88,0.6713561183525433,112.67638808484568
1089,10.89,0.5469151648871964,109.74427852175171
1090,10.9,0.4409152674520145,108.78978658358665
1091,10.91,0.35217948086957274,
1092,10.92,0.2704817838790492,
1093,10.93,0.1969112346605839,
1094,10.94,0.13989482394541913,
1095,10.950000000000001,0.1050684141755082,
1096,10.96,,
1097,10.97,0.10439699605963466,
1098,10.98,0.1286693876708508,
1099,10.99,0.15586913958710988,
1100,11.0,0.17463221327418552,
1101,11.01,0.17362201501097183,
1102,11.02,0.16419733455423086,
1103,11.03,0.18928602999651142,
1104,11.040000000000001,0.2775898382529836,
1105,11.05,0.40114175422074305,
1106,11.06,0.5207231343807076,110.2017282928878
1107,11.07,0.6051233571477778,101.75070569287274
1108,11.08,0.6284190750422295,94.20660320856915
1109,11.09,0.5993462302654937,95.79352994558006
1110,11.1,0.570643545487847,93.21617605584976
1111,11.11,0.5789116290488617,92.30673919162481
1112,11.120000000000001,0.6020016326894596,94.16434314160311
1113,11.13,0.6104774823794734,96.54387182325394
1114,11.14,0.6084673944702146,96.07572865232366
1115,11.15,0.6160847658395736,94.26122798069596
1116,11.16,0.63406122240742,93.90367401533273
1117,11.17,0.6404628334012595,94.30673329179496
1118,11.18,0.6227775472345269,94.13319901949144
1119,11.19,0.5984633916866399,94.34177570910478
1120,11.200000000000001,0.5868809396182031,94.84471684661901
1121,11.21,0.5828122256202033,96.5839799621485
1122,11.22,0.570560117520252,96.01192564533933
1123,11.23,0.5496719219167622,95.20123094209319
1124,11.24,0.5359466626874384,95.4996516688456
1125,11.25,0.5349076426541676,86.84554415290634
1126,11.26,0.5239715505107961,93.29306737078794
1127,11.27,0.48409723103193647,90.78827524347042
1128,11.28,0.4492074503614407,88.27185306186054
1129,11.290000000000001,0.4721434753533776,88.25705606311509
1130,11.3,0.5453279342746008,86.53757825881236
1131,11.31,0.6024131946391267,86.07283111156981
1132,11.32,0.6054695471329377,86.24089201314627
1133,11.33,0.5877343179222256,84.14349876633045
1134,11.34,0.5851654044882136,83.49505828500035
1135,11.35,0.5900458412818069,81.9567868260234
1136,11.36,0.5794529567481056,81.23161007975052
1137,11.370000000000001,0.5494610368012305,80.57538763994197
1138,11.38,0.5130751766630571,80.25131360261325
1139,11.39,0.48076056156123564,80.73649127975914
1140,11.4,0.456412727849346,79.40051013833815
1141,11.41,0.4414111038029197,79.52004766416185
1142,11.42,0.42800669805376923,78.3584999733906
1143,11.43,0.4066131061415469,78.76397025279798
1144,11.44,0.3877753141562149,78.34508611940507
1145,11.450000000000001,0.3981878495537345,78.97277124769285
1146,11.46,0.4352579712283513,79.83148835286542
1147,11.47,0.4395641091714382,80.86026376448878
1148,11.48,0.3640626749511675,76.46744315720477
1149,11.49,0.2532208815446334,
1150,11.5,0.17589977394179385,
1151,11.51,0.15178040483929656,
1152,11.52,0.1638463095647952,
1153,11.53,0.19123568323234733,
1154,11.540000000000001,0.20791944727524958,
1155,11.55,0.1944880487047059,
1156,11.56,0.1629356802533911,
1157,11.57,0.13307686546647146,
1158,11.58,0.1145250955092947,
1159,11.59,0.10984445477476287,92.50803886071685
1160,11.6,0.11503812496867709,86.05610221640544
1161,11.61,0.1159022235660255,85.88592672561745
1162,11.620000000000001,0.10233000592367604,87.07018485333533
1163,11.63,,86.73730156840378
1164,11.64,,87.49370213223082
1165,11.65,,84.13244613863341
1166,11.66,,88.8498613431477
1167,11.67,,87.24430911976873
1168,11.68,,87.24176413201292
1169,11.69,,86.97218167980792
1170,11.700000000000001,,87.35761227572198
1171,11.71,,86.24552087730528
1172,11.72,,88.11243087923444
1173,11.73,,86.60253239824411
1174,11.74,,87.77455996957897
1175,11.75,,87.13734665887169
1176,11.76,,87.60305438043015
1177,11.77,,86.81211916351407
1178,11.78,,86.55571090943434
1179,11.790000000000001,,88.32245373785616
1180,11.8,,86.34819058046851
1181,11.81,,87.54378706949589
1182,11.82,,86.9189727612303
1183,11.83,,86.76816154227566
1184,11.84,,88.19140854002143
1185,11.85,,87.99214037650765
1186,11.86,,86.95123729180519
1187,11.870000000000001,,87.2851823709202
1188,11.88,,87.26825453179566
1189,11.89,,85.56067460725318
1190,11.9,,88.0330609453114
1191,11.91,,87.95541908525223
1192,11.92,,84.17241063920333
1193,11.93,,90.54395684780953
1194,11.94,,85.65186901907768
1195,11.950000000000001,,88.94730249072649
1196,11.96,,85.39969579637497
1197,11.97,,87.54058344177201
1198,11.98,,88.66178690459292
1199,11.99,,86.5902092377921
1200,12.0,,86.9142870520999
1201,12.01,,89.64278414852684
1202,12.02,,85.57538175363365
1203,12.030000000000001,,86.32019849924166
1204,12.040000000000001,,88.06769297854997
1205,12.05,,86.45108252689853
1206,12.06,,90.05633341248476
1207,12.07,,85.20417191072274
1208,12.08,,88.81170325641882
1209,12.09,,89.39191196724104
1210,12.1,,84.54160080469426
1211,12.11,,89.52988355358247
1212,12.120000000000001,,86.75497273103632
1213,12.13,,88.14195550952547
1214,12.14,,88.75391734127219
1215,12.15,,87.8389496548531
1216,12.16,,87.8167287318262
1217,12.17,,86.74484378567085
1218,12.18,,88.77801256915876
1219,12.19,,84.20066098615175
1220,12.200000000000001,,89.25728011358558
1221,12.21,,87.63870848230947
1222,12.22,,87.3397525101069
1223,12.23,,84.56236674150865
1224,12.24,,91.53362401801994
1225,12.25,,84.08199915190214
1226,12.26,,86.03888884476342
1227,12.27,,86.80628514211458
1228,12.280000000000001,,95.80919067893647
1229,12.290000000000001,0.24098955142583345,
1230,12.3,0.5566047770541399,93.48695901107797
1231,12.31,0.7885254186660566,150.56604532015004
1232,12.32,0.8530965524574419,103.67077373836895
1233,12.33,0.8427113104708649,108.72615767715885
1234,12.34,0.8385509364432044,108.04376741072753
1235,12.35,0.8244861061935355,105.8301605976967
1236,12.36,0.7652173873738373,104.30319722256698
1237,12.370000000000001,0.6639845624973839,103.85213600437679
1238,12.38,0.5470870460934135,118.31910208085856
1239,12.39,0.45126951553687356,
1240,12.4,0.42729871219409027,
1241,12.41,0.4974491277764056,
1242,12.42,0.5836519264702023,
1243,12.43,0.5977000666931769,
1244,12.44,0.5544582625635338,
1245,12.450000000000001,0.5226831452215303,
1246,12.46,0.5060305866195132,
1247,12.47,0.4252225324235151,
1248,12.48,0.2600406712965485,
1249,12.49,0.18815912150762862,
1250,12.5,0.38832849474512154,
1251,12.51,0.7357974122450951,
1252,12.52,0.9623668273986291,98.81111962548417
1253,12.530000000000001,0.977816365470803,95.35103784948878
1254,12.540000000000001,0.8988518688599664,93.21290560614862
1255,12.55,0.8226616273938295,91.21431419950305
1256,12.56,0.7600236208529527,90.26329082482378
1257,12.57,0.7076653803359553,90.19659455980391
1258,12.58,0.6686863947573111,88.4365971209869
1259,12.59,0.6486580634910362,87.64154151074084
1260,12.6,0.6434632941194244,87.69560135493744
1261,12.61,0.638728990610955,87.39443500691475
1262,12.620000000000001,0.6222930455597976,86.0542748345848
1263,12.63,0.5888165489459068,86.7684550770658
1264,12.64,0.5345209237027605,86.13020466733096
1265,12.65,0.45894375307408736,83.84529052664199
1266,12.66,0.36376209006067994,83.12098719915706
1267,12.67,0.2678276997255145,87.2514260619477
1268,12.68,0.20651025889339358,79.91671043265674
1269,12.69,0.19107547823078327,73.64004830704108
1270,12.700000000000001,0.175991077477317,
1271,12.71,0.12244869027950808,
1272,12.72,,
1273,12.73,0.12136251934045016,
1274,12.74,0.23874640627525323,
1275,12.75,0.3430746177582012,
1276,12.76,0.37712586256912745,
1277,12.77,0.35334945611962487,
1278,12.780000000000001,0.29447523143082077,
1279,12.790000000000001,0.23167366945217951,
1280,12.8,0.19709457974768757,
1281,12.81,0.19310290109557404,
1282,12.82,0.19798140209858248,
1283,12.83,0.19524141953218874,93.28986564927988
1284,12.84,0.17963294964512017,87.95417522830623
1285,12.85,0.1498724696557938,85.63011058332808
1286,12.86,0.1178039419269863,85.4225396475514
1287,12.870000000000001,,88.3028136378391
1288,12.88,,89.41143342736844
1289,12.89,,84.65436602845875
1290,12.9,,86.3858876853441
1291,12.91,,88.20174718772188
1292,12.92,,86.89177787028723
1293,12.93,,83.4744474324093
1294,12.94,,93.79603239125059
1295,12.950000000000001,,81.99184805629828
1296,12.96,,87.45316271573869
1297,12.97,,94.5375662446096
1298,12.98,,93.19832991375199
1299,12.99,,91.04699194139017
1300,13.0,,92.62734948677618
1301,13.01,,102.37740406894672
1302,13.02,,74.41892381473686
1303,13.030000000000001,,87.84264751986518
1304,13.040000000000001,,91.04610065869942
1305,13.05,,83.97162940065262
1306,13.06,,91.01191463077824
1307,13.07,0.10096262969041932,92.75593645969289
1308,13.08,0.105441850667457,81.00374555085806
1309,13.09,0.10619098652537559,86.98905332483004
1310,13.1,,93.50688035483701
1311,13.11,,76.50261460348857
1312,13.120000000000001,,96.25261414035398
1313,13.13,,91.30491874384843
1314,13.14,,84.00431832873419
1315,13.15,0.1013979890913779,86.7233881094749
1316,13.16,0.10766258817333775,89.16819491520869
1317,13.17,0.11322859816461778,86.21369543558389
1318,13.18,0.11867256253934054,85.48858446399572
1319,13.19,0.12309164226158091,91.10685695374356
1320,13.200000000000001,0.1248818664022481,80.95410889802055
1321,13.21,0.1206522296390541,90.68244360196944
1322,13.22,0.10790136445364597,88.86489236143993
1323,13.23,,80.39105179402137
1324,13.24,,92.40281852591669
1325,13.25,,91.21963443782757
1326,13.26,0.10048750434978183,82.3360497027908
1327,13.27,0.10144795548283195,88.5638553763455
1328,13.280000000000001,0.10170940907587837,88.72117956320326
1329,13.290000000000001,0.1063160112721223,85.52001232839054
1330,13.3,0.11045934989462666,89.80280680046742
1331,13.31,0.10556694869228604,85.50783213057224
1332,13.32,,86.83208028815993
1333,13.33,,89.60974302310473
1334,13.34,,90.41450439584563
1335,13.35,,81.43603604804377
1336,13.36,,88.45123724667931
1337,13.370000000000001,,88.1199031364926
1338,13.38,,86.33345739997418
1339,13.39,,87.12984663420353
1340,13.4,,86.56289965001369
1341,13.41,,86.37620821122546
1342,13.42,,90.5448620214721
1343,13.43,0.12778228254494292,85.62783894101274
1344,13.44,0.2006553828159949,
1345,13.450000000000001,0.27726663474964325,
1346,13.46,0.3345978495839554,
1347,13.47,0.3488665889343115,
1348,13.48,0.3094212444758256,
1349,13.49,0.2316882845729927,
1350,13.5,0.1464275816548835,
1351,13.51,0.14669079760545212,
1352,13.52,0.33373916807098836,
1353,13.530000000000001,0.635518779104372,90.76809963642862
1354,13.540000000000001,0.8472964711000611,114.3581732328648
1355,13.55,0.8762222390427014,114.48815545467117
1356,13.56,0.8377505796594499,116.84376655243392
1357,13.57,0.8404484399365612,114.43615912677745
1358,13.58,0.8610472484712619,114.60099698551916
1359,13.59,0.8432060259410025,112.68292305979395
1360,13.6,0.7922751383066367,112.22880277151077
1361,13.61,0.7568006894726618,111.48162393776485
1362,13.620000000000001,0.7595762244414802,111.56226303032791
1363,13.63,0.7794695163706151,111.57433938579388
1364,13.64,0.7960139215702076,112.63841437585384
1365,13.65,0.808457788974456,109.52770212231162
1366,13.66,0.8171910919719503,109.58458335838121
1367,13.67,0.7765964199806542,103.78763513899068
1368,13.68,0.6130995785548631,98.1028791106048
1369,13.69,0.3481829201079613,
1370,13.700000000000001,0.14702144214097404,
1371,13.71,0.12739200497701966,
1372,13.72,0.18562154074259696,
1373,13.73,0.18476414343590597,
1374,13.74,0.17786821964485322,
1375,13.75,0.32635156005486543,
1376,13.76,0.6376604336245694,
1377,13.77,0.9056997381441192,120.25799889876318
1378,13.780000000000001,0.978650096624733,114.72622606126143
1379,13.790000000000001,0.940311337654117,110.53966761275335
1380,13.8,0.9136113664852005,107.05603516664944
1381,13.81,0.9248216439277226,105.8354761324197
1382,13.82,0.9482321913882741,105.03773088104228
1383,13.83,0.9546295167550379,104.14900699773315
1384,13.84,0.9110367029273311,104.69300364572267
1385,13.85,0.8089907359169424,105.14751039199871
1386,13.86,0.7156138774468953,106.16927186604224
1387,13.870000000000001,0.6995852786257257,106.52520626092189
1388,13.88,0.7247094323437746,107.05595704687336
1389,13.89,0.7053753127615029,106.18333799723905
1390,13.9,0.611652232093437,107.8223856703321
1391,13.91,0.4780106724833781,115.36478635731606
1392,13.92,0.3484318826545074,
1393,13.93,0.2833718070020993,
1394,13.94,0.3318045956662325,
1395,13.950000000000001,0.4378971513565796,
1396,13.96,0.5022443627999619,
1397,13.97,0.5020529102653103,
1398,13.98,0.49525416217927,
1399,13.99,0.5199621440822847,
1400,14.0,0.5549757792371258,
1401,14.01,0.5729193131275702,
1402,14.02,0.5659686347342381,
1403,14.030000000000001,0.5347809488014319,
1404,14.040000000000001,0.49254345353483014,
1405,14.05,0.4644003916035472,
1406,14.06,0.45757081533384975,
1407,14.07,0.4373463986406315,
1408,14.08,0.3720142644136878,
1409,14.09,0.28193992504620347,
1410,14.1,0.20522059869263665,
1411,14.11,0.1549997803973746,
1412,14.120000000000001,0.12246878211848512,
1413,14.13,0.10498886004483801,
1414,14.14,0.11425437086326633,
1415,14.15,0.1634200745579727,
1416,14.16,0.26394640427316984,
1417,14.17,0.4238859465018235,
1418,14.18,0.6056658385963009,
1419,14.19,0.7352773259845738,
1420,14.200000000000001,0.7718295294328702,85.02523887993759
1421,14.21,0.7388495016943768,99.56207798219516
1422,14.22,0.6667277428616121,94.22763753612358
1423,14.23,0.5845308649054851,86.77635078572759
1424,14.24,0.5195303877963986,90.34739127399828
1425,14.25,0.47941362053246994,90.28050124165753
1426,14.26,0.45749922218999356,88.33371335116809
1427,14.27,0.4512221524321803,88.48727296745217
1428,14.280000000000001,0.46567005954445734,87.97876903170413
1429,14.290000000000001,0.49715204600958135,86.69245068256268
1430,14.3,0.5005984733050747,85.72021285053698
1431,14.31,0.4258433292241866,83.4488086547885
1432,14.32,0.2982167852015741,82.39992598744172
1433,14.33,0.193206125940253,103.57163633638031
1434,14.34,0.14662723211680018,90.17017674276586
1435,14.35,0.1305702348356884,85.73205487897344
1436,14.36,0.11971082570699305,84.9034289491197
1437,14.370000000000001,0.12069780031129965,87.78430550620814
1438,14.38,0.14619968019238586,86.55223305657343
1439,14.39,0.1891483708986984,
1440,14.4,0.23054109920180768,
1441,14.41,0.26074517855821255,
1442,14.42,0.2838089188973455,
1443,14.43,0.30090301449368334,
1444,14.44,0.29927595693423376,
1445,14.450000000000001,0.268147944418694,
1446,14.46,0.24558980822327048,
1447,14.47,0.2947862403533534,
1448,14.48,0.38913384823135483,
1449,14.49,0.3840479142694496,
1450,14.5,0.2193381633082542,
1451,14.51,0.13040063772211113,
1452,14.52,0.3651544946477926,
1453,14.530000000000001,0.7708443258194501,
1454,14.540000000000001,0.9973543105989516,88.87529685698718
1455,14.55,0.9325424997980167,110.1656734415034
1456,14.56,0.7512946597131016,109.11270416447219
1457,14.57,0.6036467956009066,108.09164527296313
1458,14.58,0.5186562605272488,107.97347226485657
1459,14.59,0.4973012641412413,111.63270592057786
1460,14.6,0.4919154039213462,111.83828131054993
1461,14.61,0.43456265054361654,111.56154910662188
1462,14.620000000000001,0.32130542393893735,106.57853656592431
1463,14.63,0.21843863810779773,108.68250892696375
1464,14.64,0.16989596895145362,106.69977328220777
1465,14.65,0.151528480523062,105.68531002632342
1466,14.66,0.1317488508418096,121.72877472117939
1467,14.67,0.1038203202612429,
1468,14.68,,
1469,14.69,,
1470,14.700000000000001,,
1471,14.71,0.16036086051833545,
1472,14.72,0.23903726669710385,
1473,14.73,0.2642310363575442,
1474,14.74,0.22910324066693155,
1475,14.75,0.14725310786898113,
1476,14.76,,
1477,14.77,0.1556453765106747,
1478,14.780000000000001,0.3890622502849532,
1479,14.790000000000001,0.6275777229249889,
1480,14.8,0.7221684508833393,75.74293193913935
1481,14.81,0.7077480546458053,90.71238820053263
1482,14.82,0.6786609024005653,91.23855378698447
1483,14.83,0.6520563026041865,89.11681547633711
1484,14.84,0.5805679900567693,87.48675194066529
1485,14.85,0.46038043734800443,80.79917119992287
1486,14.86,0.3774194784866771,
1487,14.870000000000001,0.4003638312328951,
1488,14.88,0.4579743949646419,
1489,14.89,0.44273021073096047,
1490,14.9,0.36250930408907955,
1491,14.91,0.31322283175429255,
1492,14.92,0.33743045363498114,
1493,14.93,0.3778737103916829,
1494,14.94,0.3838567299444978,
1495,14.950000000000001,0.3819107569263055,
1496,14.96,0.415864678619103,
1497,14.97,0.46852941423750105,
1498,14.98,0.48047696661926953,
1499,14.99,0.4331110383282621,
1500,15.0,0.3761333637905389,
1501,15.01,0.35268549030248014,
1502,15.02,0.35296157233412256,
1503,15.030000000000001,0.35396427411580333,
1504,15.040000000000001,0.3374287090697849,
1505,15.05,0.2885417293874863,
1506,15.06,0.21527268372602917,
1507,15.07,0.15957133805551046,
1508,15.08,0.15756659589241945,
1509,15.09,0.21345848487509084,
1510,15.1,0.3211349224879914,
1511,15.11,0.44479477362868736,100.12798590968558
1512,15.120000000000001,0.5319754442330338,96.5457176635576
1513,15.13,0.5611798785513089,95.03094788869048
1514,15.14,0.5535075208251506,94.26530014210259
1515,15.15,0.536499866938501,94.03938548643657
1516,15.16,0.5490182879003245,93.6789932448204
1517,15.17,0.6238124426976568,94.43963075172236
1518,15.18,0.7165053091694978,
1519,15.19,0.7436461275259597,80.92847546884238
1520,15.200000000000001,0.6956313761998727,95.18401490523158
1521,15.21,0.6555424342747173,95.21781778860314
1522,15.22,0.6683079375197885,95.27658145398524
