,time,amplitude
0,0.0,0.0
1,0.023219954648526078,3.7771822e-06
2,0.046439909297052155,0.0006103283
3,0.06965986394557823,0.0024310169
4,0.09287981859410431,0.0024310169
5,0.11609977324263039,0.0013250179
6,0.13931972789115646,0.00044170237
7,0.16253968253968254,0.00038404574
8,0.18575963718820862,0.00034867163
9,0.2089795918367347,0.00034867163
10,0.23219954648526078,0.0002582085
11,0.25541950113378686,0.0
12,0.2786394557823129,0.0
13,0.301859410430839,0.0
14,0.3250793650793651,0.0
15,0.34829931972789113,0.0
16,0.37151927437641724,0.0
17,0.3947392290249433,0.0
18,0.4179591836734694,0.0
19,0.44117913832199546,0.0
20,0.46439909297052157,0.0
21,0.4876190476190476,0.0
22,0.5108390022675737,0.0
23,0.5340589569160997,0.0
24,0.5572789115646258,0.0
25,0.5804988662131519,0.0
26,0.603718820861678,0.0
27,0.626938775510204,0.0
28,0.6501587301587302,0.0
29,0.6733786848072563,0.0
30,0.6965986394557823,0.0
31,0.7198185941043084,0.0
32,0.7430385487528345,0.0
33,0.7662585034013606,0.0
34,0.7894784580498866,0.0
35,0.8126984126984127,0.0
36,0.8359183673469388,0.0
37,0.8591383219954648,0.0
38,0.8823582766439909,0.0
39,0.905578231292517,0.0
40,0.9287981859410431,0.0
41,0.9520181405895691,0.0
42,0.9752380952380952,0.0
43,0.9984580498866213,0.0
44,1.0216780045351475,0.0
45,1.0448979591836736,0.0
46,1.0681179138321995,0.0
47,1.0913378684807256,0.0
48,1.1145578231292517,0.0
49,1.1377777777777778,0.0
50,1.1609977324263039,0.0
51,1.18421768707483,0.0
52,1.207437641723356,0.0
53,1.230657596371882,0.0
54,1.253877551020408,0.0
55,1.2770975056689342,0.0
56,1.3003174603174603,0.0
57,1.3235374149659864,0.0
58,1.3467573696145125,0.0
59,1.3699773242630386,2.9188268e-05
60,1.3931972789115645,0.11451349
61,1.4164172335600906,0.37296578
62,1.4396371882086167,0.65869
63,1.4628571428571429,0.66052085
64,1.486077097505669,0.71980965
65,1.509297052154195,0.74318105
66,1.5325170068027212,0.74318105
67,1.555736961451247,0.73377275
68,1.5789569160997732,0.72256386
69,1.6021768707482993,0.72256386
70,1.6253968253968254,0.61967677
71,1.6486167800453515,0.5436046
72,1.6718367346938776,0.40323442
73,1.6950566893424037,0.37166536
74,1.7182766439909296,0.34516495
75,1.7414965986394557,0.334854
76,1.7647165532879818,0.32372636
77,1.787936507936508,0.3671066
78,1.811156462585034,0.3888529
79,1.8343764172335602,0.43889326
80,1.8575963718820863,0.46204475
81,1.8808163265306121,0.46204475
82,1.9040362811791383,0.4299775
83,1.9272562358276644,0.40647718
84,1.9504761904761905,0.39519542
85,1.9736961451247166,0.37003314
86,1.9969160997732427,0.3080255
87,2.020136054421769,0.4432671
88,2.043356009070295,0.46168423
89,2.066575963718821,0.46168423
90,2.089795918367347,0.45859057
91,2.1130158730158732,0.41062853
92,2.136235827664399,0.1560559
93,2.159455782312925,0.07947493
94,2.182675736961451,0.18514003
95,2.2058956916099772,0.18514003
96,2.2291156462585033,0.3146232
97,2.2523356009070294,0.31632102
98,2.2755555555555556,0.31632102
99,2.2987755102040817,0.066151276
100,2.3219954648526078,0.05640203
101,2.345215419501134,0.1022538
102,2.36843537414966,0.1276675
103,2.391655328798186,0.13934448
104,2.414875283446712,0.19764449
105,2.4380952380952383,0.568491
106,2.461315192743764,0.58541334
107,2.48453514739229,0.58541334
108,2.507755102040816,0.40486607
109,2.5309750566893423,0.41641927
110,2.5541950113378684,0.41641927
111,2.5774149659863945,0.10962829
112,2.6006349206349206,0.2168862
113,2.6238548752834467,0.32921958
114,2.647074829931973,0.32921958
115,2.670294784580499,0.3228583
116,2.693514739229025,0.2211267
117,2.716734693877551,0.2807192
118,2.7399546485260773,0.38674226
119,2.7631746031746034,0.4018524
120,2.786394557823129,0.4018524
121,2.809614512471655,0.3650961
122,2.8328344671201813,0.2936106
123,2.8560544217687074,0.13093016
124,2.8792743764172335,0.11867276
125,2.9024943310657596,0.11867276
126,2.9257142857142857,0.10052088
127,2.948934240362812,0.09542657
128,2.972154195011338,0.09542657
129,2.995374149659864,0.082555875
130,3.01859410430839,0.15766068
131,3.0418140589569163,0.49060288
132,3.0650340136054424,0.5800215
133,3.0882539682539685,0.5800215
134,3.111473922902494,0.4507296
135,3.1346938775510202,0.3239668
136,3.1579138321995464,0.27483857
137,3.1811337868480725,0.27483857
138,3.2043537414965986,0.30132693
139,3.2275736961451247,0.35212433
140,3.250793650793651,0.35212433
141,3.274013605442177,0.3501288
142,3.297233560090703,0.25639802
143,3.320453514739229,0.25639802
144,3.3436734693877552,0.18875422
145,3.3668934240362813,0.14380445
146,3.3901133786848074,0.08620041
147,3.4133333333333336,0.08162327
148,3.436553287981859,0.08162327
149,3.4597732426303853,0.05532293
150,3.4829931972789114,0.159295
151,3.5062131519274375,0.24508458
152,3.5294331065759637,0.5421216
153,3.5526530612244898,0.6515653
154,3.575873015873016,0.6515653
155,3.599092970521542,0.5556438
156,3.622312925170068,0.5111357
157,3.645532879818594,0.38740394
158,3.6687528344671203,0.38658795
159,3.6919727891156464,0.38447806
160,3.7151927437641725,0.35256156
161,3.7384126984126986,0.28614217
162,3.7616326530612243,0.19262937
163,3.7848526077097504,0.107837826
164,3.8080725623582765,0.10704945
165,3.8312925170068026,0.1263692
166,3.8545124716553287,0.15802489
167,3.877732426303855,0.15802489
168,3.900952380952381,0.28601336
169,3.924172335600907,0.52010804
170,3.947392290249433,0.52010804
171,3.9706122448979593,0.39781207
